,PC1,PC2,PC3
LUSC:sample439,-0.000492729,-0.000223292,0.000113201
LUAD:sample440,0.000316829,-0.000626857,2.49E-06
LUAD:sample441,0.000332175,0.000350454,0.000396718
LUSC:sample442,-0.000367439,-0.000150726,0.000286292
LUAD:sample443,8.31E-05,0.000393077,-0.000817894
LUAD:sample444,0.000393673,-5.02E-05,-0.00017349
LUAD:sample445,0.000250489,-0.000222669,-0.000587838
LUAD:sample446,0.000223226,0.000216637,-0.000611139
LUSC:sample447,6.60E-06,0.000356529,-0.00100175
LUAD:sample448,0.000547116,0.000156947,0.000708583
LUSC:sample449,-0.000314119,-0.000765086,-0.000332117
LUSC:sample450,-0.000587603,0.00039022,0.000648271
LUAD:sample451,0.000206744,-0.00023615,-0.000525769
LUAD:sample452,0.000479542,-0.000580962,-0.000335048
LUAD:sample453,9.09E-05,-8.11E-05,-0.000546229
LUSC:sample454,-0.000213818,-0.000765897,3.84E-05
LUSC:sample455,0.000323181,0.000958937,0.001124174
LUAD:sample456,0.000380172,-0.000624006,-0.000995726
LUAD:sample457,0.000615861,-0.000487616,-0.000128723
LUSC:sample458,-0.000595971,-0.000127689,0.00039011
LUAD:sample459,-1.99E-05,-0.000129319,-0.00085836
LUAD:sample460,0.00030647,-0.000431318,-0.000208566
LUSC:sample461,-0.000624634,-0.0002771,0.000415842
LUAD:sample462,0.000168781,-6.20E-05,-0.000792887
LUAD:sample463,2.94E-05,0.000663913,-0.000374312
LUSC:sample464,0.000386523,0.000834636,0.001266224
LUAD:sample465,0.000342362,-0.000503085,-0.000754631
LUAD:sample466,0.000336644,-1.73E-05,-0.000730526
LUAD:sample467,0.000130672,0.000358839,-0.000844529
LUAD:sample468,0.000557984,-0.00063713,-0.000312244
LUAD:sample469,0.000263709,0.000969448,8.45E-05
LUSC:sample470,-0.000447514,7.67E-05,0.000539634
LUSC:sample471,9.84E-05,-0.000281878,-0.000742793
LUSC:sample472,-0.000119769,-0.000745534,0.000162817
LUSC:sample473,-0.000618427,-7.65E-05,-3.64E-05
LUSC:sample474,-3.13E-05,-6.60E-05,0.000800239
LUSC:sample475,-0.000629215,0.000193357,0.000337246
LUAD:sample476,0.000327293,-0.000241649,-0.000330058
LUSC:sample477,-0.000358039,-0.00036204,0.000641514
LUSC:sample478,-0.000253671,0.000302783,0.000312254
LUSC:sample479,-0.000459807,-0.00049962,0.000749762
LUAD:sample480,0.000279692,-0.000580474,-0.000940137
LUAD:sample481,0.000275495,0.000253275,0.000106366
